HuanShou,JiaGe,JinE,NeiPan,ShiJian,WaiPan,WeiBi,ZhangFu,ZhangSu,ZongLiang,JunJia,LiangBi,price,avg_price,pct_chg
0,12350,0,0,09:15,0,14520,980,980,0,,,12.35,,0.98
0,12350,0,0,09:16,0,21640,980,980,0,,,12.35,,0.98
0,12350,0,0,09:17,0,-680,980,980,0,,,12.35,,0.98
0,12350,0,0,09:18,0,8480,980,0,0,,,12.35,,0.98
0,12350,0,0,09:19,0,11530,980,0,0,,,12.35,,0.98
0,12350,0,0,09:20,0,11960,980,0,0,,,12.35,,0.98
0,12350,0,0,09:21,0,270,980,0,0,,,12.35,,0.98
0,12350,0,0,09:22,0,-11100,980,0,0,,,12.35,,0.98
0,12350,0,0,09:23,0,-11720,980,0,0,,,12.35,,0.98
0,12330,0,0,09:24,0,-4660,820,-160,0,,,12.33,,0.82
0,12320,80540000,43600,09:25,21800,-73650,740,-240,65400,12320.0,2870.0,12.32,12.32,0.74
0,12320,80540000,43600,09:26,21800,-73650,740,-240,65400,12320.0,2870.0,12.32,12.32,0.74
0,12320,80540000,43600,09:27,21800,-73650,740,-240,65400,12320.0,2870.0,12.32,12.32,0.74
0,12320,80540000,43600,09:28,21800,-73650,740,0,65400,12320.0,2870.0,12.32,12.32,0.74
0,12320,80540000,43600,09:29,21800,-73650,740,0,65400,12320.0,2870.0,12.32,12.32,0.74
10,12310,221000000,107000,09:30,72800,-11170,650,-80,180000,12300.0,7900.0,12.31,12.3,0.65
20,12360,354000000,159000,09:31,129000,8780,1060,320,288000,12320.0,6320.0,12.36,12.32,1.06
20,12320,426000000,169000,09:32,177000,-56630,740,0,346000,12320.0,5070.0,12.32,12.32,0.74
20,12260,478000000,182000,09:33,206000,54210,250,-410,389000,12310.0,4270.0,12.26,12.31,0.25
30,12300,531000000,199000,09:34,233000,-39850,570,-490,431000,12310.0,3790.0,12.3,12.31,0.57
30,12280,584000000,220000,09:35,254000,9530,410,-240,474000,12310.0,3470.0,12.28,12.31,0.41
30,12250,635000000,239000,09:36,277000,21580,160,-240,516000,12310.0,3240.0,12.25,12.31,0.16
30,12260,680000000,259000,09:37,293000,65140,250,-330,552000,12300.0,3040.0,12.26,12.3,0.25
40,12240,719000000,281000,09:38,303000,70720,80,-330,584000,12300.0,2850.0,12.24,12.3,0.08
40,12250,750000000,295000,09:39,315000,13360,160,0,610000,12300.0,2680.0,12.25,12.3,0.16
40,12240,793000000,316000,09:40,329000,45580,80,-160,645000,12300.0,2580.0,12.24,12.3,0.08
40,12280,828000000,328000,09:41,345000,-4910,410,330,673000,12290.0,2470.0,12.28,12.29,0.41
40,12260,855000000,339000,09:42,357000,9570,250,80,696000,12290.0,2350.0,12.26,12.29,0.25
40,12230,884000000,352000,09:43,367000,11930,0,-80,719000,12290.0,2260.0,12.23,12.29,0.0
50,12230,910000000,368000,09:44,372000,9070,0,-410,741000,12290.0,2170.0,12.23,12.29,0.0
50,12250,938000000,377000,09:45,386000,14590,160,-80,763000,12290.0,2100.0,12.25,12.29,0.16
50,12180,981000000,403000,09:46,396000,14150,-410,-410,798000,12290.0,2060.0,12.18,12.29,-0.41
50,12190,1009000000,416000,09:47,405000,29740,-330,-330,821000,12280.0,2010.0,12.19,12.28,-0.33
50,12190,1040000000,428000,09:48,419000,37350,-330,-490,847000,12280.0,1860.0,12.19,12.28,-0.33
50,12150,1080000000,453000,09:49,426000,-6520,-650,-250,880000,12280.0,1930.0,12.15,12.28,-0.65
60,12160,1121000000,461000,09:50,453000,47780,-570,-250,914000,12270.0,1910.0,12.16,12.27,-0.57
60,12150,1141000000,469000,09:51,461000,21990,-650,-330,930000,12270.0,1860.0,12.15,12.27,-0.65
60,12130,1172000000,490000,09:52,465000,12380,-820,-160,956000,12270.0,1830.0,12.13,12.27,-0.82
60,12140,1212000000,507000,09:53,482000,59140,-740,-160,989000,12260.0,1810.0,12.14,12.26,-0.74
60,12150,1225000000,512000,09:54,488000,43100,-650,0,999000,12260.0,1760.0,12.15,12.26,-0.65
60,12170,1244000000,521000,09:55,494000,38040,-490,330,1020000,12260.0,1720.0,12.17,12.26,-0.49
60,12160,1269000000,534000,09:56,501000,-4170,-570,160,1040000,12260.0,1690.0,12.16,12.26,-0.57
70,12160,1297000000,540000,09:57,518000,51430,-570,80,1060000,12250.0,1660.0,12.16,12.25,-0.57
70,12160,1311000000,547000,09:58,523000,35570,-570,0,1070000,12250.0,1620.0,12.16,12.25,-0.57
70,12170,1321000000,551000,09:59,527000,44310,-490,80,1080000,12250.0,1530.0,12.17,12.25,-0.49
70,12180,1331000000,555000,10:00,531000,33130,-410,160,1090000,12250.0,1540.0,12.18,12.25,-0.41
70,12190,1342000000,560000,10:01,536000,17940,-330,250,1100000,12250.0,1500.0,12.19,12.25,-0.33
70,12210,1364000000,563000,10:02,550000,28560,-160,330,1110000,12250.0,1480.0,12.21,12.25,-0.16
70,12210,1377000000,569000,10:03,556000,-1300,-160,250,1120000,12250.0,1450.0,12.21,12.25,-0.16
70,12200,1386000000,572000,10:04,559000,-5760,-250,80,1130000,12250.0,1420.0,12.2,12.25,-0.25
70,12180,1399000000,578000,10:05,564000,-320,-410,-250,1140000,12250.0,1360.0,12.18,12.25,-0.41
70,12180,1408000000,581000,10:06,568000,7800,-410,-250,1150000,12250.0,1370.0,12.18,12.25,-0.41
70,12180,1424000000,590000,10:07,573000,15780,-410,-160,1160000,12250.0,1350.0,12.18,12.25,-0.41
70,12170,1433000000,595000,10:08,575000,28770,-490,-80,1170000,12250.0,1320.0,12.17,12.25,-0.49
70,12160,1448000000,602000,10:09,580000,36480,-570,-160,1180000,12250.0,1300.0,12.16,12.25,-0.57
70,12150,1471000000,619000,10:10,582000,28980,-650,-250,1200000,12250.0,1290.0,12.15,12.25,-0.65
80,12130,1523000000,646000,10:11,598000,27760,-820,-330,1240000,12240.0,1300.0,12.13,12.24,-0.82
80,12140,1540000000,652000,10:12,606000,44380,-740,-160,1260000,12240.0,1290.0,12.14,12.24,-0.74
80,12140,1555000000,658000,10:13,613000,44820,-740,0,1270000,12240.0,1270.0,12.14,12.24,-0.74
80,12140,1569000000,664000,10:14,618000,32890,-740,170,1280000,12240.0,1250.0,12.14,12.24,-0.74
80,12160,1591000000,668000,10:15,632000,15660,-570,160,1300000,12240.0,1220.0,12.16,12.24,-0.57
80,12150,1598000000,672000,10:16,634000,45300,-650,80,1310000,12240.0,1220.0,12.15,12.24,-0.65
80,12140,1604000000,676000,10:17,635000,49040,-740,0,1310000,12240.0,1200.0,12.14,12.24,-0.74
80,12120,1618000000,686000,10:18,637000,40070,-900,-410,1320000,12240.0,1190.0,12.12,12.24,-0.9
80,12120,1639000000,701000,10:19,639000,40180,-900,-160,1340000,12230.0,1180.0,12.12,12.23,-0.9
80,12110,1654000000,710000,10:20,642000,43530,-980,-250,1350000,12230.0,1170.0,12.11,12.23,-0.98
80,12110,1677000000,726000,10:21,646000,26080,-980,-80,1370000,12230.0,1160.0,12.11,12.23,-0.98
90,12090,1705000000,744000,10:22,650000,34280,-1140,-250,1390000,12230.0,1160.0,12.09,12.23,-1.14
90,12080,1724000000,753000,10:23,656000,-610,-1230,-250,1410000,12230.0,1150.0,12.08,12.23,-1.23
90,12090,1745000000,765000,10:24,662000,3360,-1140,-170,1430000,12220.0,1140.0,12.09,12.22,-1.14
90,12080,1767000000,777000,10:25,668000,6470,-1230,-80,1450000,12220.0,1140.0,12.08,12.22,-1.23
90,12120,1794000000,782000,10:26,685000,38530,-900,330,1470000,12220.0,1130.0,12.12,12.22,-0.9
90,12100,1801000000,786000,10:27,687000,46170,-1060,80,1470000,12220.0,1120.0,12.1,12.22,-1.06
90,12090,1817000000,792000,10:28,695000,48660,-1140,170,1490000,12220.0,1110.0,12.09,12.22,-1.14
90,12110,1824000000,795000,10:29,699000,46660,-980,-80,1490000,12220.0,1090.0,12.11,12.22,-0.98
90,12080,1836000000,801000,10:30,702000,25870,-1230,-170,1500000,12220.0,1070.0,12.08,12.22,-1.23
90,12090,1853000000,807000,10:31,710000,50260,-1140,0,1520000,12220.0,1080.0,12.09,12.22,-1.14
90,12080,1866000000,814000,10:32,713000,32190,-1230,-250,1530000,12220.0,1070.0,12.08,12.22,-1.23
100,12070,1893000000,827000,10:33,723000,40980,-1310,-170,1550000,12210.0,1060.0,12.07,12.21,-1.31
100,12070,1904000000,832000,10:34,727000,14920,-1310,-170,1560000,12210.0,1050.0,12.07,12.21,-1.31
100,12060,1938000000,852000,10:35,735000,36740,-1390,-170,1590000,12210.0,1040.0,12.06,12.21,-1.39
100,12070,1954000000,857000,10:36,743000,40110,-1310,0,1600000,12210.0,1050.0,12.07,12.21,-1.31
100,12060,1961000000,860000,10:37,746000,36850,-1390,-80,1610000,12210.0,1040.0,12.06,12.21,-1.39
100,12080,1976000000,865000,10:38,754000,37130,-1230,170,1620000,12210.0,1030.0,12.08,12.21,-1.23
100,12090,1984000000,867000,10:39,758000,28210,-1140,170,1620000,12210.0,1010.0,12.09,12.21,-1.14
100,12100,1992000000,869000,10:40,763000,37570,-1060,330,1630000,12210.0,1010.0,12.1,12.21,-1.06
100,12080,1998000000,872000,10:41,764000,31380,-1230,0,1640000,12210.0,1000.0,12.08,12.21,-1.23
100,12070,2003000000,875000,10:42,766000,36170,-1310,-250,1640000,12210.0,990.0,12.07,12.21,-1.31
100,12070,2012000000,881000,10:43,768000,30650,-1310,-250,1650000,12210.0,980.0,12.07,12.21,-1.31
100,12100,2029000000,883000,10:44,779000,33210,-1060,170,1660000,12200.0,970.0,12.1,12.2,-1.06
100,12110,2035000000,886000,10:45,782000,17240,-980,330,1670000,12200.0,970.0,12.11,12.2,-0.98
100,12110,2040000000,887000,10:46,784000,9630,-980,330,1670000,12200.0,950.0,12.11,12.2,-0.98
100,12120,2049000000,887000,10:47,792000,24860,-900,170,1680000,12200.0,950.0,12.12,12.2,-0.9
100,12120,2059000000,890000,10:48,797000,17060,-900,80,1690000,12200.0,940.0,12.12,12.2,-0.9
100,12140,2065000000,892000,10:49,800000,33840,-740,250,1690000,12200.0,930.0,12.14,12.2,-0.74
110,12160,2082000000,895000,10:50,812000,-3990,-570,330,1710000,12200.0,930.0,12.16,12.2,-0.57
110,12170,2089000000,896000,10:51,816000,8570,-490,330,1710000,12200.0,920.0,12.17,12.2,-0.49
110,12200,2107000000,900000,10:52,827000,-21230,-250,490,1730000,12200.0,920.0,12.2,12.2,-0.25
110,12180,2119000000,906000,10:53,831000,-54740,-410,160,1740000,12200.0,910.0,12.18,12.2,-0.41
110,12210,2141000000,911000,10:54,843000,-36720,-160,330,1750000,12200.0,910.0,12.21,12.2,-0.16
110,12200,2146000000,914000,10:55,846000,-30190,-250,0,1760000,12200.0,900.0,12.2,12.2,-0.25
110,12200,2159000000,920000,10:56,849000,-42340,-250,160,1770000,12200.0,890.0,12.2,12.2,-0.25
110,12190,2171000000,927000,10:57,852000,-51400,-330,-160,1780000,12200.0,890.0,12.19,12.2,-0.33
110,12190,2179000000,931000,10:58,855000,-47690,-330,-80,1790000,12200.0,880.0,12.19,12.2,-0.33
110,12170,2186000000,936000,10:59,856000,-28030,-490,-160,1790000,12200.0,870.0,12.17,12.2,-0.49
110,12160,2192000000,940000,11:00,856000,-38630,-570,-250,1800000,12200.0,870.0,12.16,12.2,-0.57
110,12150,2205000000,945000,11:01,862000,-12000,-650,-330,1810000,12200.0,860.0,12.15,12.2,-0.65
110,12160,2210000000,948000,11:02,863000,-16400,-570,0,1810000,12200.0,860.0,12.16,12.2,-0.57
110,12140,2217000000,953000,11:03,864000,-7750,-740,-160,1820000,12200.0,850.0,12.14,12.2,-0.74
110,12130,2224000000,958000,11:04,865000,4450,-820,-160,1820000,12200.0,840.0,12.13,12.2,-0.82
110,12140,2233000000,961000,11:05,869000,17440,-740,-160,1830000,12200.0,840.0,12.14,12.2,-0.74
110,12150,2243000000,965000,11:06,874000,28850,-650,80,1840000,12200.0,830.0,12.15,12.2,-0.65
110,12150,2253000000,969000,11:07,878000,7910,-650,160,1850000,12200.0,820.0,12.15,12.2,-0.65
110,12130,2262000000,975000,11:08,880000,-37390,-820,-80,1850000,12200.0,820.0,12.13,12.2,-0.82
110,12140,2268000000,977000,11:09,882000,-60710,-740,-80,1860000,12200.0,820.0,12.14,12.2,-0.74
120,12180,2342000000,1030000,11:10,885000,38680,-410,250,1920000,12200.0,840.0,12.18,12.2,-0.41
120,12140,2365000000,990000,11:11,949000,58010,-740,0,1940000,12200.0,830.0,12.14,12.2,-0.74
120,12140,2376000000,993000,11:12,955000,47850,-740,0,1950000,12200.0,830.0,12.14,12.2,-0.74
120,12140,2388000000,1000000,11:13,958000,41900,-740,-330,1960000,12200.0,830.0,12.14,12.2,-0.74
120,12130,2398000000,1000000,11:14,962000,40690,-820,-160,1970000,12200.0,820.0,12.13,12.2,-0.82
120,12140,2407000000,1010000,11:15,966000,43300,-740,0,1970000,12200.0,820.0,12.14,12.2,-0.74
120,12140,2419000000,1010000,11:16,972000,27350,-740,0,1980000,12200.0,820.0,12.14,12.2,-0.74
120,12140,2426000000,1010000,11:17,975000,40040,-740,80,1990000,12200.0,810.0,12.14,12.2,-0.74
120,12100,2446000000,1030000,11:18,977000,53540,-1060,-250,2010000,12200.0,810.0,12.1,12.2,-1.06
120,12120,2453000000,1030000,11:19,980000,38890,-900,-160,2010000,12200.0,800.0,12.12,12.2,-0.9
120,12120,2459000000,1030000,11:20,982000,37200,-900,-160,2020000,12200.0,800.0,12.12,12.2,-0.9
120,12130,2467000000,1040000,11:21,986000,49750,-820,250,2020000,12190.0,790.0,12.13,12.19,-0.82
130,12130,2470000000,1040000,11:22,988000,49530,-820,80,2030000,12190.0,790.0,12.13,12.19,-0.82
130,12120,2474000000,1040000,11:23,990000,50520,-900,0,2030000,12190.0,780.0,12.12,12.19,-0.9
130,12130,2484000000,1040000,11:24,993000,26350,-820,0,2040000,12190.0,780.0,12.13,12.19,-0.82
130,12140,2489000000,1050000,11:25,995000,36110,-740,80,2040000,12190.0,770.0,12.14,12.19,-0.74
130,12140,2493000000,1050000,11:26,997000,47550,-740,80,2040000,12190.0,770.0,12.14,12.19,-0.74
130,12140,2497000000,1050000,11:27,999000,44390,-740,80,2050000,12190.0,760.0,12.14,12.19,-0.74
130,12140,2505000000,1050000,11:28,1000000,43750,-740,0,2050000,12190.0,760.0,12.14,12.19,-0.74
130,12140,2508000000,1060000,11:29,1000000,54390,-740,0,2060000,12190.0,750.0,12.14,12.19,-0.74
130,12130,2509000000,1060000,11:30,1000000,54230,-820,-80,2060000,12190.0,750.0,12.13,12.19,-0.82
130,12200,2560000000,1070000,13:00,1030000,-36190,-250,490,2100000,12190.0,760.0,12.2,12.19,-0.25
130,12200,2574000000,1080000,13:01,1030000,-42600,-250,490,2110000,12190.0,760.0,12.2,12.19,-0.25
130,12190,2587000000,1080000,13:02,1040000,-39610,-330,490,2120000,12190.0,760.0,12.19,12.19,-0.33
130,12170,2603000000,1090000,13:03,1050000,7200,-490,-250,2130000,12190.0,760.0,12.17,12.19,-0.49
130,12190,2612000000,1090000,13:04,1050000,-11990,-330,-80,2140000,12190.0,750.0,12.19,12.19,-0.33
130,12170,2628000000,1100000,13:05,1060000,27860,-490,-160,2160000,12190.0,750.0,12.17,12.19,-0.49
130,12170,2650000000,1110000,13:06,1060000,2980,-490,0,2170000,12190.0,750.0,12.17,12.19,-0.49
130,12190,2653000000,1110000,13:07,1060000,-21100,-330,0,2180000,12190.0,750.0,12.19,12.19,-0.33
130,12190,2660000000,1110000,13:08,1070000,-18920,-330,160,2180000,12190.0,740.0,12.19,12.19,-0.33
140,12180,2675000000,1120000,13:09,1080000,5290,-410,80,2190000,12190.0,740.0,12.18,12.19,-0.41
140,12180,2681000000,1120000,13:10,1080000,3340,-410,-80,2200000,12190.0,740.0,12.18,12.19,-0.41
140,12200,2692000000,1120000,13:11,1090000,-5990,-250,160,2210000,12190.0,740.0,12.2,12.19,-0.25
140,12190,2711000000,1130000,13:12,1090000,-12430,-330,80,2220000,12190.0,740.0,12.19,12.19,-0.33
140,12190,2722000000,1140000,13:13,1100000,1160,-330,80,2230000,12190.0,730.0,12.19,12.19,-0.33
140,12170,2737000000,1140000,13:14,1100000,-3290,-490,-250,2240000,12190.0,730.0,12.17,12.19,-0.49
140,12150,2748000000,1150000,13:15,1100000,26890,-650,-330,2250000,12190.0,730.0,12.15,12.19,-0.65
140,12140,2758000000,1160000,13:16,1110000,57160,-740,-410,2260000,12190.0,730.0,12.14,12.19,-0.74
140,12120,2768000000,1160000,13:17,1110000,47550,-900,-410,2270000,12190.0,720.0,12.12,12.19,-0.9
140,12140,2782000000,1160000,13:18,1120000,71590,-740,-80,2280000,12190.0,720.0,12.14,12.19,-0.74
140,12130,2791000000,1170000,13:19,1120000,70910,-820,-80,2290000,12190.0,720.0,12.13,12.19,-0.82
140,12140,2796000000,1170000,13:20,1120000,68840,-740,170,2290000,12190.0,720.0,12.14,12.19,-0.74
140,12130,2819000000,1190000,13:21,1120000,36540,-820,-80,2310000,12190.0,720.0,12.13,12.19,-0.82
140,12110,2826000000,1190000,13:22,1120000,40340,-980,-160,2320000,12190.0,710.0,12.11,12.19,-0.98
140,12120,2832000000,1200000,13:23,1130000,43280,-900,-160,2320000,12190.0,710.0,12.12,12.19,-0.9
140,12110,2840000000,1200000,13:24,1130000,53630,-980,-160,2330000,12190.0,710.0,12.11,12.19,-0.98
140,12120,2853000000,1210000,13:25,1130000,64640,-900,80,2340000,12190.0,710.0,12.12,12.19,-0.9
140,12110,2860000000,1210000,13:26,1140000,67260,-980,-80,2350000,12190.0,700.0,12.11,12.19,-0.98
150,12100,2867000000,1210000,13:27,1140000,56890,-1060,-80,2350000,12190.0,700.0,12.1,12.19,-1.06
150,12100,2880000000,1220000,13:28,1140000,70460,-1060,-170,2360000,12190.0,700.0,12.1,12.19,-1.06
150,12090,2889000000,1220000,13:29,1150000,63970,-1140,-170,2370000,12190.0,700.0,12.09,12.19,-1.14
150,12060,2918000000,1250000,13:30,1150000,40870,-1390,-330,2390000,12190.0,700.0,12.06,12.19,-1.39
150,12080,2931000000,1250000,13:31,1150000,60900,-1230,-170,2400000,12190.0,700.0,12.08,12.19,-1.23
150,12070,2937000000,1250000,13:32,1160000,60770,-1310,-170,2410000,12190.0,690.0,12.07,12.19,-1.31
150,12080,2947000000,1250000,13:33,1170000,74830,-1230,170,2420000,12190.0,690.0,12.08,12.19,-1.23
150,12090,2951000000,1250000,13:34,1170000,62550,-1140,80,2420000,12190.0,690.0,12.09,12.19,-1.14
150,12100,2957000000,1260000,13:35,1170000,59190,-1060,250,2430000,12190.0,680.0,12.1,12.19,-1.06
150,12090,2968000000,1260000,13:36,1170000,59770,-1140,80,2440000,12190.0,680.0,12.09,12.19,-1.14
150,12090,2975000000,1270000,13:37,1180000,68650,-1140,0,2440000,12190.0,680.0,12.09,12.19,-1.14
150,12090,2981000000,1270000,13:38,1180000,64890,-1140,-80,2450000,12190.0,680.0,12.09,12.19,-1.14
150,12100,2985000000,1270000,13:39,1180000,65770,-1060,80,2450000,12190.0,670.0,12.1,12.19,-1.06
